nom_voie,id_type_voie,nom_voie_norm,complement_adresse
Route des Truffiers,route,des truffiers,
Route d'Airel,route,d airel,
Rue du General Gouvello,rue,du general gouvello,
Rue du Grand Parc,rue,du grand parc,
Rue de l'Afficion,rue,de l afficion,
Rue Saint-christophe,rue,saint christophe,
avenue georges clémenceau,avenue,georges clemenceau,
Route de Cagnotte,route,de cagnotte,
Rue de Massonnière,rue,de massonniere,
Rue des Rossignols,rue,des rossignols,
rue tour de séglan,rue,tour de seglan,
Rue de la Barrande,rue,de la barrande,
Avenue de la Côte d'Or,avenue,de la cote d or,
Chemin de Morne Bourg,chemin,de morne bourg,
Route de Bourgogne,route,de bourgogne,
Square Couperin,square,couperin,
Rue du Brûleux,rue,du bruleux,
Rue général de gaulle,rue,general de gaulle,
Avenue des Primevères,avenue,des primeveres,
Chemin Stéphane,chemin,stephane,
Chemin Henri IV,chemin,henri iv,
Rue Louis Aragon,rue,louis aragon,
Iratiko errepidea,,iratiko errepidea,
Rue de la Massaterie,rue,de la massaterie,
Ruelle des Moines,ruelle,des moines,
Rue Antoine Renard,rue,antoine renard,
Rue Jacques Brives,rue,jacques brives,
Rue du Marché Couvert,rue,du marche couvert,
Place du Fort,place,du fort,
chemin de la fontaine,chemin,de la fontaine,
Rue Van Dyck,rue,van dyck,
route de la pailleterie,route,de la pailleterie,
Impasse de la Villeneuve,impasse,de la villeneuve,
Chemin de Kerseal,chemin,de kerseal,
Rue de Malmy,rue,de malmy,
Rue de Vaucelle,rue,de vaucelle,
Rue de Rode,rue,de rode,
le Haut Noyolet,,le haut noyolet,
Rue Marc Chagall,rue,marc chagall,
Chemin de Russaud,chemin,de russaud,
Route de La Barre,route,de la barre,
Rue du Mont Asselin,rue,du mont asselin,
Rue du Coteau,rue,du coteau,
Rue Valériani,rue,valeriani,
Impasse des Muzardières,impasse,des muzardieres,
Rue du Heron Cendre,rue,du heron cendre,
Rue de Buno-bonnevaux,rue,de buno bonnevaux,
Rue du Pin Doré,rue,du pin dore,
Rue des Epinettes,rue,des epinettes,
Avenue des Champs Elysées,avenue,des champs elysees,
Rue de la Lucque,rue,de la lucque,
Rue Maurice Simono,rue,maurice simono,
Rue du landa,rue,du landa,
Route des 3 ruisseaux,route,des 3 ruisseaux,
Rue de l'Angebert,rue,de l angebert,
Rue de la Rasse,rue,de la rasse,
Chemin de la Fouasse,chemin,de la fouasse,
Rue Ernest Chaudron,rue,ernest chaudron,
Rue Philippe Obaton,rue,philippe obaton,
Rue des Cavaliers,rue,des cavaliers,
Rue du Gaizot,rue,du gaizot,
Route de la Moinerie,route,de la moinerie,
Rue du Moulinet,rue,du moulinet,
Rue Léo Lagrange,rue,leo lagrange,
Chemin Jean-Baptiste Conti,chemin,jean baptiste conti,
Chemin du moulin du fond,chemin,du moulin du fond,
Rue de la Motte au Vent,rue,de la motte au vent,
Impasse Bouvet de Lozier,impasse,bouvet de lozier,
Rue des Naides,rue,des naides,
Impasse Vernat,impasse,vernat,
Rue de la Causserie,rue,de la causserie,
Scalete,,scalete,
Rue Aquila,rue,aquila,
Rue de Soissons,rue,de soissons,
Chemin du Lac,chemin,du lac,
les Barbotines 2,,les barbotines 2,
Chemin du Petit Pont,chemin,du petit pont,
rue des noisetiers,rue,des noisetiers,
Rue du Chêne Vert,rue,du chene vert,
Chemin de Las Barthes Hautes,chemin,de las barthes hautes,
Rue de la Constitution,rue,de la constitution,
Allée des merisiers,allee,des merisiers,
Stretta di u prisbiteriu,,stretta di u prisbiteriu,
Rue Léopold Micé,rue,leopold mice,
Route des Colles,route,des colles,
Rue Victor Morin,rue,victor morin,
Rue Anatole France,rue,anatole france,
Allée de la Bergerie,allee,de la bergerie,
Route du Moulin de Castex,route,du moulin de castex,
Rue du Chateau de Relingue,rue,du chateau de relingue,
Rue des Houx,rue,des houx,
Chemin de la Plaine,chemin,de la plaine,
Rue des Célestines,rue,des celestines,
Chemin Lalanne,chemin,lalanne,
Les Demeurees,,les demeurees,
Route du Bugey,route,du bugey,
Rue Molière,rue,moliere,
Avenue de la Roudet,avenue,de la roudet,
Impasse des 4 Vents,impasse,des 4 vents,
Avenue Escalado Dei Roucas,avenue,escalado dei roucas,
Rue de la Metairie,rue,de la metairie,
Rue Saint Denis,rue,saint denis,
Chemin de Rouméjac,chemin,de roumejac,
Rue Saint-Guénaël,rue,saint guenael,
Rue de l'Hermitage,rue,de l hermitage,
Rue Haute,rue,haute,
Fortin,,fortin,
Avenue d'Angers,avenue,d angers,
Rue des Martinets,rue,des martinets,
Rue bizet,rue,bizet,
Rue Lichtenberg,rue,lichtenberg,
Route de Guenange,route,de guenange,
Chemin de la Chicane,chemin,de la chicane,
Avenue de Rodez,avenue,de rodez,
Les Arnelles,,les arnelles,
Rue d’Ottange,rue,d ottange,
Rue des Sources,rue,des sources,
Rue Diderot,rue,diderot,
Rue de l’Isard,rue,de l isard,
Avenue Jean Jaures,avenue,jean jaures,
Route de Lafage,route,de lafage,
Rue Mireille Brochier,rue,mireille brochier,
place jacques d aragon,place,jacques d aragon,
Rue Christine,rue,christine,
rue jeanne d'arc,rue,jeanne d arc,
Rue du Vingt-Deux Novembre,rue,du vingt deux novembre,
Rue Watteau,rue,watteau,
Rue Desire Charton,rue,desire charton,
Rue de la Charme,rue,de la charme,
Avenue de Fronton,avenue,de fronton,
Rue du moulin pille,rue,du moulin pille,
Rue Sarolie,rue,sarolie,
Impasse du Général Frère,impasse,du general frere,
Rue de la Marjolaine,rue,de la marjolaine,
Rue du 19 Mars 1962,rue,du 19 mars 1962,
Rue des Vanniers,rue,des vanniers,
Rue de l’Envers du Village,rue,de l envers du village,
Chemin des Colles,chemin,des colles,
Allée de l’Ile de France,allee,de l ile de france,
Rue Marceau,rue,marceau,
Rue Felix Guillemin,rue,felix guillemin,
Chemin des Laurons,chemin,des laurons,
Avenue Guillaume le Conquerant,avenue,guillaume le conquerant,
Rue Honore de Balzac,rue,honore de balzac,
Route des Hautes Mares,route,des hautes mares,
Rue des Souchets,rue,des souchets,
Rue des Charrons,rue,des charrons,
Rue de Frahier,rue,de frahier,
Route d'Autarribe,route,d autarribe,
Rue de la Peupleraie,rue,de la peupleraie,
Route de Légna,route,de legna,
Chemin du Pouverel,chemin,du pouverel,
Rue Maurice Jouaud,rue,maurice jouaud,
Route de Grenoble,route,de grenoble,
Résidence de Coat Héol,residence,de coat heol,
Rue du Champ Gevras,rue,du champ gevras,
Avenue de Beutre,avenue,de beutre,
Place Claude Debussy,place,claude debussy,
Chemin des Charmes,chemin,des charmes,
Rue de Bonnevalet,rue,de bonnevalet,
Boulevard Léon Bourgeois,boulevard,leon bourgeois,
Route d’Hirson,route,d hirson,
Rue Georges Lavier,rue,georges lavier,
Rue Gustave Renard,rue,gustave renard,
Rue Manuel,rue,manuel,
Route de Yerville,route,de yerville,
Rue Roger Mirassou,rue,roger mirassou,
Rue du Vauchel,rue,du vauchel,
Route de Montigny,route,de montigny,
Allée Roland Garros,allee,roland garros,
Route de Farnay,route,de farnay,
Route de Fontanès,route,de fontanes,
Rue Hubert Pennevert,rue,hubert pennevert,
Impasse de la Fontaine Saint-Joseph,impasse,de la fontaine saint joseph,
Route de l'Abadie,route,de l abadie,
Rue Moulin du Bas,rue,moulin du bas,
Avenue des Causses,avenue,des causses,
Rue de Troarn,rue,de troarn,
Avenue de Toulouse,avenue,de toulouse,
Rue de Bonavis,rue,de bonavis,
Rue Nestor Philogene,rue,nestor philogene,
route de Kerozan,route,de kerozan,
Le Tertrais,,le tertrais,
Chemin du Grand Pré,chemin,du grand pre,
La Boucliniere,,la boucliniere,
Lotissement du Paradis,lotissement,du paradis,
Place du 8 Mai,place,du 8 mai,
La Grande Veyssiere,,la grande veyssiere,
Chemin Hauteur Lezarde,chemin,hauteur lezarde,
Rue de la Borde,rue,de la borde,
Rue du temple,rue,du temple,
Rue Lavoignat,rue,lavoignat,
Avenue de la Baumette,avenue,de la baumette,
Guillomerais (La),,guillomerais la,
Boulevard du Général Leclerc,boulevard,du general leclerc,
Route du Palais,route,du palais,
Chemin des Clausonnes,chemin,des clausonnes,
Chemin de Tapie,chemin,de tapie,
Rue Blaise Pascal,rue,blaise pascal,
Chemin de Predoenea,chemin,de predoenea,
Allée du muguet,allee,du muguet,
Avenue Pierre Brossolette,avenue,pierre brossolette,
Route du Mailleau,route,du mailleau,
Rue du Docteur de Bechevel,rue,du docteur de bechevel,
Chemin de Chalorey,chemin,de chalorey,
Avenue Selvosa,avenue,selvosa,
Route de Castelsarrasin,route,de castelsarrasin,
Moulin Gardez,moulin,gardez,
Chemin Simone Blanc,chemin,simone blanc,
Traverse de teneriffe,traverse,de teneriffe,
Rue Blaise Raynal,rue,blaise raynal,
Contour de l'Eglise,contour,de l eglise,
Rue Joseph le Mauff,rue,joseph le mauff,
Rue Claude Debussy,rue,claude debussy,
Rue du mûrier,rue,du murier,
Rue de Mauléon,rue,de mauleon,
Rue des Poiriers,rue,des poiriers,
Rue Jacques Hamel,rue,jacques hamel,
Rue du Chemin Vert,rue,du chemin vert,
Rue de Basse Terre,rue,de basse terre,
Avenue du Vallon,avenue,du vallon,
Rue Bonnet,rue,bonnet,
Impasse des Roitelets,impasse,des roitelets,
Impasse des Epinettes,impasse,des epinettes,
Cours Emile Zola,cours,emile zola,
Chemin du Mas Llinas,chemin,du mas llinas,
Avenue Grassion Cibrand Carnon,avenue,grassion cibrand carnon,
Cour de la Vrillerie,cour,de la vrillerie,
Descente des Cigalons,descente,des cigalons,
Rue de l’Orme,rue,de l orme,
Rue  Joachim du Bellay,rue,joachim du bellay,
Rue Matabiau,rue,matabiau,
Rue Houchard,rue,houchard,
Croix Tarenne d’En Bas,croix,tarenne d en bas,
Square du Toc Midi,square,du toc midi,
Allée du Meix Chamberland,allee,du meix chamberland,
Chemin des Mulets,chemin,des mulets,
Rue du Collinaud,rue,du collinaud,
Chemin des Roches,chemin,des roches,
Rue Jacques Demy Mft,rue,jacques demy mft,
Rue Camille Claudel,rue,camille claudel,
Route d’Annecy,route,d annecy,
Rue de la Baie d'Authie,rue,de la baie d authie,
La Coudraie la Poterie,,la coudraie la poterie,
Place de l’Europe,place,de l europe,
Route des Résiniers,route,des resiniers,
Rue Saint Firmin,rue,saint firmin,
Rue Robert Sorbon,rue,robert sorbon,
Rue du Pont,rue,du pont,
Rue Agnès Sorel,rue,agnes sorel,
Touzac,,touzac,
Rue Charles Quin,rue,charles quin,
Rue Paul Mieg,rue,paul mieg,
Rue Guynemer,rue,guynemer,
Rue du Paille En Queue,rue,du paille en queue,
Avenue des Pivoines,avenue,des pivoines,
Avenue de Couzières,avenue,de couzieres,
Boulevard Charlemagne,boulevard,charlemagne,
Rue Michel Royer,rue,michel royer,
Avenue de Robion,avenue,de robion,
Ruelle de Beautour,ruelle,de beautour,
Avenue du 14 Juillet 1789,avenue,du 14 juillet 1789,
Avenue de l'Espérance,avenue,de l esperance,
rue de Medicis,rue,de medicis,
Impasse christophe colomb,impasse,christophe colomb,
Le Haut du Bourg,,le haut du bourg,
Allée Paul Gauguin,allee,paul gauguin,
Rue Eugenie Cotton,rue,eugenie cotton,
Rue de Lavalette,rue,de lavalette,
Rue de la Façade,rue,de la facade,
les Campets,,les campets,
Chemin des Sambles,chemin,des sambles,
Rue du Minerai,rue,du minerai,
Rue des Deportes,rue,des deportes,
Rue du Maréchal Murat,rue,du marechal murat,
Rue de la Gloriotte,rue,de la gloriotte,
Rue de Beauvais,rue,de beauvais,
Rue Saint-fortunat,rue,saint fortunat,
Rue Particuliere,rue,particuliere,
Chemin de la Verane,chemin,de la verane,
Rue Salvador Allende,rue,salvador allende,
Allée du Moulin des Hayes,allee,du moulin des hayes,
Chemin des Genêts,chemin,des genets,
Rue Ville Pépin,rue,ville pepin,
Rue de la Garde,rue,de la garde,
Route de Flers,route,de flers,
Allee de la Presle,allee,de la presle,
Rue des Merles,rue,des merles,
Longuève,,longueve,
Rue de la Touche,rue,de la touche,
Rue de Mulhouse,rue,de mulhouse,
Route d’Auneau,route,d auneau,
Avenue de la Bade,avenue,de la bade,
Rue des Arenes,rue,des arenes,
Avenue d'Orgeval,avenue,d orgeval,
Avenue Kleber Deliège,avenue,kleber deliege,
Chemin de Ladevese,chemin,de ladevese,
Rue de Nointel,rue,de nointel,
Impasse de l'Ecluse,impasse,de l ecluse,
Rue des Roses,rue,des roses,
Rue Louis Braille,rue,louis braille,
Impasse des Dinandiers,impasse,des dinandiers,
Impasse du Chauffour,impasse,du chauffour,
Chemin de la Croix Rouge Mft,chemin,de la croix rouge mft,
Chemin du Vent,chemin,du vent,
Impasse de Roumégas,impasse,de roumegas,
Rue Parmentier,rue,parmentier,
Avenue du Maréchal Juin,avenue,du marechal juin,
Rue Creuse,rue,creuse,
Route de la Petite Rivière,route,de la petite riviere,
Route de Nailly,route,de nailly,
Route Du Bourg,route,du bourg,
Rue Vincent Van Gogh Plein Sud,rue,vincent van gogh plein sud,
Rue des Champclins,rue,des champclins,
Rue du Général Pershing,rue,du general pershing,
Rue de la Trichetterie,rue,de la trichetterie,
Chemin des Bouchets,chemin,des bouchets,
Rue du Lavoir,rue,du lavoir,
Les Bournets,,les bournets,
Chemin des Jamerosas,chemin,des jamerosas,
Chemin des Pandelles,chemin,des pandelles,
Traverse d’Argeles,traverse,d argeles,
Route de Cagnes,route,de cagnes,
Les Guichardières,,les guichardieres,
Rue des Liserons,rue,des liserons,
Impasse des Plaines de l'Espinat,impasse,des plaines de l espinat,
rue des Deux Batteries,rue,des deux batteries,
Rue des Frères de Pontbriand,rue,des freres de pontbriand,
Rue Châtelaine,rue,chatelaine,
Impasse des Pins,impasse,des pins,
Rue Dammartin,rue,dammartin,
Rue du Domaine de Compostelle,rue,du domaine de compostelle,
Rue de Mundolsheim,rue,de mundolsheim,
Rue Corot,rue,corot,
